./data/datasets/double_integrator_1e3_0_3.dat
DOUBLE INTEGRATOR
CONSTANTS : MU [km^3.s^-2], LU [km], WU [s^-1], MASSU [kg]. TU [s], VU = LU * WU [km.s^-1], THRUSTU = 1000 * VU * MASSU * WU [N].
1
1
1
1
SPACECRAFT PARAMETERS : INITIAL MASS [MASSU], DRY MASS [MASSU], THRUST [THRUSTU], ISP [TU].
1
1
1
1
4
State
12, 7
x [LU], y [LU], z [LU], vx [VU], vy [VU], vz [VU], mass [MASSU], 
1, 1, 1, 1, 1, 1, 0, 
2, 2, 2, 0.71428571504622629, 0.66233766319682119, 0.68831168914571383, 0, 
2.7142857150462261, 2.662337663196821, 2.6883116891457139, 0.45714285858783016, 0.35844156007396022, 0.40779220937685634, 0, 
3.1714285736340564, 3.0207792232707811, 3.0961038985225704, 0.22857143062481158, 0.088311690631416973, 0.15844156069342749, 0, 
3.4000000042588678, 3.1090909139021981, 3.2545454592159979, 0.028571431157170535, -0.14805194513080819, -0.059740256904572686, 0, 
3.4285714354160381, 2.9610389687713901, 3.1948052023114251, -0.14285713981509288, -0.35064934721271568, -0.24675324341714408, 0, 
3.2857142956009451, 2.6103896215586744, 2.9480519588942808, -0.28571428229197865, -0.51948051561430575, -0.40259739884428736, 0, 
3.0000000133089664, 2.0909091059443687, 2.5454545600499934, -0.39999999627348709, -0.65454545033557898, -0.52727272318600171, 0, 
2.6000000170354793, 1.4363636556087898, 2.0181818368639917, -0.48571428175961912, -0.75584415137653405, -0.62077921644228795, 0, 
2.1142857352758604, 0.68051950423225571, 1.3974026204217038, -0.54285713875037744, -0.82337661873717227, -0.68311687861314607, 0, 
1.5714285965254828, -0.14285711450491656, 0.71428574180855775, -0.57142856795405317, -0.85714285172885074, -0.71428571063972723, 0, 
1.0000000285714297, -0.9999999662337673, 3.1168830516570267e-08, -0.57142856795405317, -0.85714285172885074, -0.71428571063972723, 0, 
Control
11, 3
ux [THRUSTU], uy [THRUSTU], uz [THRUSTU], 
-0.28571428495377366, -0.33766233680317875, -0.31168831085428617, 
-0.25714285645839613, -0.30389610312286097, -0.28051947976885749, 
-0.22857142796301858, -0.27012986944254325, -0.24935064868342885, 
-0.19999999946764105, -0.23636363576222516, -0.21818181759800018, 
-0.17142857097226341, -0.20259740208190749, -0.18701298651257139, 
-0.14285714247688577, -0.1688311684015901, -0.15584415542714328, 
-0.11428571398150845, -0.13506493472127326, -0.12467532434171437, 
-0.085714285486132039, -0.10129870104095508, -0.093506493256286252, 
-0.057142856990758294, -0.06753246736063824, -0.062337662170858142, 
-0.028571429203675745, -0.03376623299167849, -0.031168832026581182, 
3.3881317890172014e-21, 3.3881317890172014e-21, 3.3881317890172014e-21, 
Departure orbit
22, 7
x [LU], y [LU], z [LU], vx [VU], vy [VU], vz [VU], mass [MASSU], 
1, 1, 1, 1, 1, 1, 0, 
2, 2, 2, 1, 1, 1, 0, 
3, 3, 3, 1, 1, 1, 0, 
4, 4, 4, 1, 1, 1, 0, 
5, 5, 5, 1, 1, 1, 0, 
6, 6, 6, 1, 1, 1, 0, 
7, 7, 7, 1, 1, 1, 0, 
8, 8, 8, 1, 1, 1, 0, 
9, 9, 9, 1, 1, 1, 0, 
10, 10, 10, 1, 1, 1, 0, 
11, 11, 11, 1, 1, 1, 0, 
12, 12, 12, 1, 1, 1, 0, 
13, 13, 13, 1, 1, 1, 0, 
14, 14, 14, 1, 1, 1, 0, 
15, 15, 15, 1, 1, 1, 0, 
16, 16, 16, 1, 1, 1, 0, 
17, 17, 17, 1, 1, 1, 0, 
18, 18, 18, 1, 1, 1, 0, 
19, 19, 19, 1, 1, 1, 0, 
20, 20, 20, 1, 1, 1, 0, 
21, 21, 21, 1, 1, 1, 0, 
22, 22, 22, 1, 1, 1, 0, 
Arrival orbit
22, 7
x [LU], y [LU], z [LU], vx [VU], vy [VU], vz [VU], mass [MASSU], 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
1, -1, 0, 0, 0, 0, 0, 
